Artist and Title,Country
Bad Bunny - PERRO NEGRO,Argentina 
Trueno - DANCE CRIP,Argentina 
ROSALÍA - BESO,Argentina 
Daddy Yankee - Dura,Argentina 
"Bizarrap - Arcángel: Bzrp Music Sessions, Vol. 54",Argentina 
WOS - ARRANCARMELO,Argentina 
KHEA - WACHA,Argentina 
Farruko - Pepas,Argentina 
Bad Bunny - MONACO,Argentina 
KHEA - Ayer Me Llamó Mi Ex,Argentina 
Luar La L - Caile,Argentina 
"Bizarrap - Nathy Peluso: Bzrp Music Sessions, Vol. 36",Argentina 
LIT killah - La Trampa es Ley,Argentina 
Maria Becerra - Te Cura,Argentina 
Nio Garcia - AM,Argentina 
j mena - La Cobra,Argentina 
Nio Garcia - AM Remix,Argentina 
Rusherking - Antes de Ti,Argentina 
Paulo Londra - Chance,Argentina 
ECKO - Te Escapas De Mis Brazos (Remix),Argentina 
KHEA - Te Necesito,Argentina 
La Joaqui - Butakera,Argentina 
Fer Vazquez - Sin Querer,Argentina 
Justin Quiles - Jeans,Argentina 
YSY A - A POR TODO,Argentina 
Camilo - Vida de Rico,Argentina 
Dalex - Pa Mí - Remix,Argentina 
Luck Ra - Quiero Creer,Argentina 
Los Legendarios - Fiel,Argentina 
YSY A - CUÁNTO VALE HACER EL AMOR?,Argentina 
Jere Klein - ANDO,Argentina 
Ozuna - Hey Mor,Argentina 
FMK - Tranquila,Argentina 
Fuego - Una Vaina Loca,Argentina 
Rusherking - Perfecta,Argentina 
Boza - Hecha Pa' Mi,Argentina 
Sech - Relación - Remix,Argentina 
DJ Snake - Taki Taki,Argentina 
Nicky Jam - X,Argentina 
YSY A - CUÁNTOS TÉRMINOS?,Argentina 
DJ Tao - CALLEJERO FINO | DJ TAO Turreo Sessions #723,Argentina 
Emilia - Rápido Lento,Argentina 
TINI - pa,Argentina 
Bizarrap - Penas de Antaño,Argentina 
Los Ángeles Azules - El Amor De Mi Vida,Argentina 
La K'onga - Universo Paralelo,Argentina 
KAROL G - QLONA,Argentina 
Emanero - SINVERGÜENZA - con Angela Torres,Argentina 
Paulo Londra - Party en el Barrio,Argentina 
Neo Pistea - Tumbando el Club,Argentina 
"Bizarrap - Residente: Bzrp Music Sessions, Vol. 49",Argentina 
Sech - Otro Trago - Remix,Argentina 
Dalex - Hola - Remix,Argentina 
Shakira - Acróstico,Argentina 
"Bizarrap - Snow Tha Product: Bzrp Music Sessions, Vol. 39",Argentina 
Bad Gyal - Chulo pt.2,Argentina 
Wisin & Yandel - Besos Moja2,Argentina 
Jhayco - Holanda,Argentina 
Milo j - M.A.I,Argentina 
Camilo - BEBÉ,Argentina 
Paulo Londra - Tal Vez,Argentina 
Sofía Reyes - Marte,Argentina 
FMK - YO SE QUE TU,Argentina 
Emilia - cuatro veinte,Argentina 
Maluma - Corazón,Argentina 
Mesita - Dale Mecha,Argentina 
Lunay - Soltera - Remix,Argentina 
The La Planta - DISCOTEKA,Argentina 
Duki - TOP 5,Argentina 
Cris Mj - Una Noche en Medellín,Argentina 
Tones And I - Dance Monkey,Argentina 
Black Eyed Peas - RITMO (Bad Boys For Life),Argentina 
Mau y Ricky - Mal Acostumbrao,Argentina 
Sayian Jimmy - Bad Boy,Argentina 
Bad Bunny - LA NOCHE DE ANOCHE,Argentina 
