Song,Artist Names,Hot100 Rank,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Crazy Little Thing Called Love,Queen,30,spotify:track:35ItUJlMtjOQW3SSiTCrrw,0.599,0.762,0,-6.887,1,0.0423,0.714,4.43e-06,0.35,0.715,76.961,163373,4,62.68884,6,1
Total Eclipse Of The Heart,Bonnie Tyler,31,spotify:track:5prTs2HAw2G4idHZyeFp8o,0.435,0.658,8,-8.179,1,0.0661,0.195,0.0,0.102,0.184,130.276,269787,4,24.31705,12,1
Wake Me Up Before You Go-Go,Wham!,32,spotify:track:0ikz6tENMONtK6qGkOrU3c,0.62,0.574,0,-11.893,1,0.0421,0.272,0.0,0.0607,0.9,81.548,231333,4,36.1681,8,1
Walk Like An Egyptian,The Bangles,33,spotify:track:1Jwc3ODLQxtbnS8M9TflSP,0.724,0.891,11,-7.818,1,0.0995,0.00344,4.66e-05,0.3,0.819,103.022,204707,4,43.32343,7,1
Don't You Want Me,The Human League,34,spotify:track:3L7RtEcu1Hw3OXrpnthngx,0.731,0.738,9,-8.125,0,0.0377,0.184,0.0,0.214,0.958,117.656,236920,4,23.2182,11,1
Jessie's Girl,Rick Springfield,35,spotify:track:5RsUlxLto4NZbhJpqJbHfN,0.727,0.832,2,-5.851,1,0.05,0.164,0.0,0.105,0.822,131.703,194120,4,46.40038,8,1
Woman In Love,Barbra Streisand,36,spotify:track:1pTGc8pwyo6xtgXBKCBcFn,0.469,0.278,3,-16.311,0,0.028,0.248,0.000126,0.133,0.331,169.735,231840,4,35.22203,12,1
Hard To Say I'm Sorry,Chicago,37,spotify:track:07TnWCHrFkvF61GzJuLVt0,0.398,0.57,4,-7.068,1,0.034,0.056,0.00125,0.0606,0.234,140.974,304213,4,40.18855,8,1
Miss You Much,Janet Jackson,38,spotify:track:4r5VaK6H1bq0cTGPMTN97Z,0.702,0.975,6,-7.968,0,0.0396,0.0305,0.000134,0.165,0.646,115.185,252333,4,30.29471,11,1
Down Under,Men At Work,39,spotify:track:46RVKt5Edm1zl0rXhPJZxz,0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.891,107.231,220867,4,31.36526,10,1
Walking Blues,Big Joe Williams,40,spotify:track:1ZjN5X8LmUB67pWPgimW3B,0.509,0.277,6,-14.323,1,0.0495,0.827,0.00206,0.0756,0.64,101.157,161893,4,68.4653,7,0
Pop Singer,John Mellencamp,41,spotify:track:74DprDeArqMMsyBv8hU1Sj,0.724,0.841,7,-5.318,1,0.0271,0.038,4.62e-05,0.0258,0.924,112.518,168000,4,46.75926,7,1
Jump,Van Halen,42,spotify:track:7N3PAbqfTjSEU1edb2tY8j,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000376,0.0702,0.796,129.994,241600,4,58.33382,11,1
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,43,spotify:track:4dqEzdFAYkj1rjYLVDuTlN,0.595,0.473,8,-9.828,1,0.0347,0.702,0.0,0.0725,0.716,204.016,249293,4,16.88278,11,1
Coming Up (Live At Glasgow),Paul McCartney And Wings,44,spotify:track:0Ix1999mTT1A3TF6Bywgv5,0.578,0.751,9,-7.803,1,0.0366,0.147,0.000499,0.627,0.684,137.023,248933,4,27.48507,12,1
Arthur's Theme (Best That You Can Do),Christopher Cross,45,spotify:track:5fnOrhQ4KgT5irGCjIccGH,0.526,0.515,9,-11.169,1,0.0389,0.169,0.000816,0.181,0.518,136.543,234493,4,41.78438,11,1
Broken Wings,Mr. Mister,46,spotify:track:78FHUZRbFDCG6VkRAQdFLm,0.286,0.5,1,-14.281,0,0.0357,0.134,4.57e-05,0.108,0.443,99.162,343933,4,13.30716,16,1
Alone,Heart,47,spotify:track:54b8qPFqYqIndfdxiLApea,0.418,0.452,1,-13.099,1,0.0356,0.638,0.00026,0.0959,0.168,175.088,218733,4,49.98951,8,1
Can't Fight This Feeling,REO Speedwagon,48,spotify:track:5WwqdeavrQrbeAMDxGawse,0.408,0.48,9,-11.017,1,0.0266,0.155,1.82e-05,0.0877,0.19,156.344,294773,4,27.27035,9,1
Every Rose Has Its Thorn,Poison,49,spotify:track:43GS3mtezoIFiuIZCLLiDY,0.533,0.637,6,-5.571,1,0.0323,0.16,1.12e-05,0.369,0.292,140.167,260173,4,18.77882,13,1
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,50,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.814,291293,4,33.49433,12,1
I Can't Go For That (No Can Do),Daryl Hall John Oates,51,spotify:track:0uBZvS31BoiROea01VyUG7,0.742,0.72,5,-8.604,0,0.0837,0.0791,0.0164,0.13,0.456,111.061,307794,4,18.41299,15,1
