Song,Artist Names,Hot100 Rank,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Iris,The Goo Goo Dolls,33,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533,3,45.33362,14,0
"It Must Have Been Love (From ""Pretty Woman"")",Roxette,34,spotify:track:6kvoHl80mfCVTv7XnZkjQn,0.52,0.652,5,-6.655,1,0.0274,0.34,5.49e-05,0.256,0.722,80.609,258787,4,24.74831,12,1
Vision Of Love,Mariah Carey,35,spotify:track:0gLQ6jhJsyYfl7PrD1RZ7X,0.256,0.463,5,-10.959,1,0.0382,0.442,0.0,0.121,0.354,205.362,209293,3,22.77907,9,1
Hold On,Wilson Phillips,36,spotify:track:4VZDv8sASBS8UruUBGTFdk,0.679,0.657,5,-9.897,1,0.0255,0.4,0.0,0.0497,0.546,97.8,266867,4,20.21849,13,1
"I Wanna Sex You Up (From ""New Jack City"")",Color Me Badd,37,spotify:track:3lsse1FoSHnNXc6y0jHxvd,0.551,0.591,6,-8.404,0,0.12,0.00549,6.55e-06,0.0416,0.474,201.799,236947,4,30.51548,13,1
One More Try,Timmy T.,38,spotify:track:2drQ6wg2hdl6RDslarifh8,0.641,0.573,9,-9.198,1,0.0485,0.191,0.0,0.317,0.5,149.826,209427,5,38.54258,11,1
On Bended Knee,Boyz II Men,39,spotify:track:7MYmo0JJJDmu4MZTSAF9y3,0.631,0.516,8,-8.225,1,0.0353,0.413,0.0,0.115,0.18,116.654,329800,4,43.33309,14,1
You Mean The World To Me,Toni Braxton,40,spotify:track:1d0GYRpnCb0XNQcQdKhfKL,0.595,0.736,11,-6.648,1,0.0469,0.0964,9.28e-06,0.104,0.521,167.669,296400,4,28.32539,18,1
From A Distance,Bette Midler,41,spotify:track:48eiLW57CqSmCYNZRM2J8M,0.536,0.242,7,-11.716,1,0.0277,0.674,0.0,0.331,0.331,137.989,276346,4,26.3402,15,1
Just A Girl,No Doubt,42,spotify:track:5lWRaa0fBxDE5yU91npPq7,0.638,0.906,2,-4.824,1,0.0504,0.0662,6.88e-05,0.142,0.767,107.991,209200,4,50.24515,6,1
Fantasy,Mariah Carey,43,spotify:track:6xkryXuiZU360Lngd4sx13,0.671,0.727,7,-7.585,1,0.035,0.139,0.0,0.123,0.801,102.358,243493,4,21.8287,14,1
Unbelievable,EMF,44,spotify:track:5VYTKiOnHw4iTrB9pG3yum,0.637,0.849,1,-6.855,1,0.0362,0.000341,0.0386,0.141,0.936,104.074,209813,4,32.55442,12,1
The First Time,Surface,45,spotify:track:4iqnWPNCt4hhZ96KhjlJKq,0.637,0.354,10,-11.964,1,0.0283,0.215,0.000704,0.0961,0.111,126.435,256000,4,17.77721,15,1
Take A Bow,Madonna,46,spotify:track:7izFzcBTx3DVXFeFYDeZKB,0.549,0.408,8,-7.698,1,0.024,0.341,0.0,0.0764,0.319,80.133,320467,4,40.51848,17,1
Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),47,spotify:track:1EM23A621Z0QyTlWKu7T1l,0.928,0.771,3,-5.935,0,0.251,0.102,1.07e-05,0.338,0.679,93.987,231160,4,31.5471,13,1
More Than Words,Extreme,48,spotify:track:1gVgkQFOKa8Wc1HYsJtPdH,0.626,0.134,6,-14.898,1,0.0298,0.467,0.0,0.113,0.239,91.893,334107,4,65.80852,17,1
Escapade,Janet Jackson,49,spotify:track:5HAv1Ckfe50DUjv8ghwTrz,0.806,0.954,1,-6.741,1,0.0514,0.0259,0.000617,0.176,0.701,115.229,283934,4,31.86347,13,1
No Diggity,BLACKstreet (Featuring Dr. Dre),50,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,0.868,0.646,1,-4.674,0,0.288,0.303,0.0,0.284,0.67,88.641,304600,4,46.92651,13,1
She's Playing Hard To Get,Hi-Five,51,spotify:track:3xRbymJj98leHL7K8Y94WS,0.525,0.811,1,-6.148,1,0.0602,0.00847,0.0,0.266,0.751,199.977,276573,4,41.06696,9,1
Poison,Bell Biv DeVoe,52,spotify:track:6m59VvDUi0UQsB2eZ9wVbH,0.84,0.56,6,-10.53,0,0.21,0.00195,0.00417,0.633,0.775,111.815,261853,4,38.13758,13,1
Groovin',UB40,53,spotify:track:3hy7Mc96hdAA2eXGDCs7zW,0.817,0.561,2,-13.311,1,0.0539,0.00204,0.00879,0.0421,0.904,99.02,229973,4,40.30897,12,1
Emotions,Mariah Carey,54,spotify:track:0cELvuwJW1acISUHYB6suj,0.741,0.752,9,-7.009,0,0.0359,0.0411,0.0012,0.0233,0.942,114.851,248093,4,35.45986,11,1
Quit Playing Games (With My Heart),Backstreet Boys,55,spotify:track:1nRwyxNsqCLeA17qR8Nfxx,0.8,0.875,11,-4.952,0,0.0338,0.0615,2.79e-06,0.13,0.882,100.033,233533,4,36.32249,10,1
No Scrubs,TLC,56,spotify:track:1KGi9sZVMeszgZOWivFpxs,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4,21.44277,8,1
Dreamlover,Mariah Carey,57,spotify:track:6HcQZfMrw3KwGyzrKw1Pjy,0.701,0.705,5,-6.18,1,0.0357,0.18,0.0,0.141,0.71,100.669,232960,4,35.79226,12,1
Opposites Attract,Paula Abdul (Duet With The Wild Pair),58,spotify:track:7z38bideBRvGAgjXe2SECm,0.783,0.842,1,-8.838,1,0.054,0.0337,2.57e-06,0.0519,0.933,117.79,265373,4,25.97184,12,1
The First Night,Monica,59,spotify:track:5rWzxloNXvbRPhlC1O2b6T,0.671,0.766,1,-9.218,0,0.0634,0.139,0.0,0.26,0.906,152.088,235573,4,30.28588,12,1
Nobody's Supposed To Be Here,Deborah Cox,60,spotify:track:51QxenFmXlJXUN9mpvxlaL,0.662,0.531,8,-5.3,1,0.0361,0.202,1.16e-05,0.595,0.399,119.957,262333,4,89.70109,11,1
Torn,Natalie Imbruglia,61,spotify:track:0KDaN0HL3TcJVTbXlQCEsS,0.575,0.886,5,-5.182,1,0.034,0.0647,0.000187,0.709,0.608,96.308,244667,4,23.63062,10,1
Twisted,Keith Sweat,62,spotify:track:69QIVIjPMnI1ABLBqh9P1b,0.615,0.514,11,-9.759,1,0.0466,0.393,0.0,0.248,0.822,175.849,260667,4,47.70674,11,1
I Love You Always Forever,Donna Lewis,63,spotify:track:1PEqh7awkpuepLBSq8ZwqD,0.744,0.453,5,-11.977,1,0.0348,0.627,0.421,0.0898,0.122,103.773,239960,4,39.67888,9,1
Believe,Cher,64,spotify:track:2goLsvvODILDzeeiT4dAoR,0.652,0.917,6,-6.72,1,0.0548,0.0082,0.0,0.0509,0.459,132.975,239027,4,29.73277,9,1
Kiss From A Rose,Seal,65,spotify:track:3YKptz29AsOlm7WAVnztBh,0.583,0.532,10,-7.11,0,0.0309,0.684,0.0,0.306,0.223,131.741,288427,3,24.39038,15,1
I'm Your Angel,R. Kelly & Celine Dion,66,spotify:track:0QWFiyhOqFu9RP8qzP6z5L,0.62,0.504,0,-7.26,1,0.0301,0.669,0.0,0.11,0.266,112.681,332067,4,40.28712,10,1
Beauty And The Beast,Celine Dion And Peabo Bryson,67,spotify:track:7B3UAPLYAbwXVgbHSKEaTw,0.463,0.4,6,-9.999,0,0.0308,0.643,2.46e-05,0.131,0.121,77.314,249240,4,39.6763,9,1
Baby Baby,Amy Grant,68,spotify:track:3IDsegNBHC4pjGCOMTQYlU,0.702,0.901,1,-4.45,1,0.0264,0.426,0.00153,0.0368,0.919,97.862,236973,4,38.92013,9,1
That's The Way Love Goes,Janet Jackson,69,spotify:track:29rQJydAlO0uMyWvRIZxQg,0.703,0.7,5,-6.789,1,0.0693,0.302,0.471,0.0718,0.582,97.675,265107,4,35.34871,9,1
Where My Girls At?,702,70,spotify:track:4VSyH8AkIt3kaR5xIPFVVi,0.704,0.725,4,-7.435,1,0.0505,0.0348,0.0163,0.194,0.761,92.183,166693,4,26.95184,7,1
All That She Wants,Ace Of Base,71,spotify:track:6kWJvPfC4DgUpRsXKNa9z9,0.798,0.625,11,-9.689,1,0.0548,0.00547,7.98e-05,0.103,0.858,93.764,211213,4,29.04853,10,1
Justify My Love,Madonna,72,spotify:track:6BWRvw630R8z2vNMok6quI,0.705,0.821,1,-7.085,1,0.128,0.00244,0.684,0.0572,0.456,99.642,294267,4,22.39246,13,1
"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,73,spotify:track:1sUTfgduT0WIQO8kXKXxLC,0.547,0.62,7,-9.823,1,0.0309,0.0564,2.49e-05,0.0937,0.426,78.598,335240,4,41.18194,14,1
How Am I Supposed To Live Without You,Michael Bolton,74,spotify:track:3RMeOetCdXttthQK0clPuz,0.541,0.44,10,-12.206,1,0.031,0.191,0.0,0.114,0.232,140.273,255667,4,35.1788,13,1
Baby Got Back,Sir Mix-A-Lot,75,spotify:track:1SAkL1mYNJlaqnBQxVZrRl,0.926,0.669,1,-11.271,1,0.301,0.0051,0.0,0.0887,0.642,128.462,262827,4,33.2001,12,1
Someday,Mariah Carey,76,spotify:track:6TSM5vkz0WzyZsNAKKYDcw,0.685,0.819,1,-8.686,0,0.0405,0.206,2.23e-06,0.0251,0.937,109.855,246107,4,25.79109,11,1
Hero,Mariah Carey,77,spotify:track:4FCb4CUbFCMNRkI6lYc1zI,0.501,0.378,4,-9.37,1,0.029,0.735,0.0,0.119,0.178,119.987,257733,4,36.66103,11,1
Let's Forget About It,Lisa Loeb,78,spotify:track:213nuIc0gDT2ZzmPF4PwSo,0.687,0.789,0,-5.038,1,0.0308,0.488,5.9e-05,0.115,0.634,100.092,165867,4,29.95842,7,1
This Is How We Do It,Montell Jordan,79,spotify:track:6uQKuonTU8VKBz5SHZuQXD,0.799,0.623,0,-9.374,1,0.0812,0.0141,0.0,0.43,0.773,103.649,238800,4,34.36407,6,1
I Adore Mi Amor,Color Me Badd,80,spotify:track:05R2lE5g9hnaSmxIrUl3C0,0.683,0.476,3,-9.995,0,0.027,0.243,0.0,0.0786,0.725,91.989,289200,4,31.03699,10,1
All The Man That I Need,Whitney Houston,81,spotify:track:07M76e7IXxYdnC1BBiJxEX,0.496,0.571,5,-9.958,0,0.0335,0.43,0.0,0.0332,0.25,150.944,251427,4,57.65932,10,1
Don't Let Go (Love),En Vogue,82,spotify:track:06TuMCjDEYjTOJScCRzmjf,0.618,0.688,5,-5.867,0,0.0477,0.409,6.32e-06,0.3,0.561,78.311,291880,4,51.39852,12,1
Get Up! (Before The Night Is Over),Technotronic,83,spotify:track:2MOOJh1xUgND4rLjB6h4jY,0.79,0.727,6,-11.84,0,0.105,0.00418,0.000162,0.0628,0.67,123.958,337093,4,24.12279,14,1
High Enough,Damn Yankees,84,spotify:track:5t5rCnsgRBtcKqTB7SbD1Q,0.273,0.537,2,-9.612,1,0.0306,0.0241,0.0,0.0922,0.232,81.814,287320,4,41.24504,9,1
Bohemian Rhapsody,Queen,85,spotify:track:7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,354320,4,28.92143,17,1
Close To You,Maxi Priest,86,spotify:track:680kMGV6szhTiZbHRr3vLi,0.762,0.646,10,-8.69,0,0.092,0.0105,2.14e-06,0.0406,0.819,95.992,330080,4,48.30517,19,1
Always Be My Baby,Mariah Carey,87,spotify:track:2aBxt229cbLDOvtL7Xbb9x,0.649,0.531,4,-8.335,1,0.0363,0.457,0.0,0.249,0.488,78.946,258133,4,29.05772,13,1
Release Me,Wilson Phillips,88,spotify:track:1rIy3lkFJnMsTLZpxFmYU8,0.724,0.471,0,-11.143,1,0.0358,0.448,2.5e-06,0.218,0.442,97.211,295693,4,47.65505,12,1
I'm Your Baby Tonight,Whitney Houston,89,spotify:track:3SmPl0CGxvvkQCrTv7edEE,0.665,0.899,6,-7.75,1,0.0877,0.303,2.21e-06,0.445,0.873,165.16,299427,3,36.11969,14,1
Step By Step,New Kids On The Block,90,spotify:track:6J6RWKCPN5RFKHUKEUFjxS,0.787,0.63,0,-12.295,1,0.0609,0.0274,6.69e-06,0.161,0.882,125.347,267293,4,46.14574,13,1
Again,Janet Jackson,91,spotify:track:1GrikfH0jDejDvrxo84n4P,0.873,0.591,7,-8.942,1,0.102,0.0788,0.0071,0.104,0.496,123.091,301200,4,18.83799,15,1
Black Velvet,Alannah Myles,92,spotify:track:1KU5EHSz04JhGg3rReGJ0N,0.754,0.366,8,-10.07,1,0.0312,0.273,9.04e-05,0.106,0.469,91.147,287440,4,49.43096,10,1
Give Me One Reason,Tracy Chapman,93,spotify:track:4vDBJeeQCbhP9FaPPMsYkY,0.608,0.419,11,-10.016,1,0.0331,0.602,7.58e-06,0.108,0.602,100.22,268333,4,33.4204,12,1
Freak Me,Silk,94,spotify:track:5CdJveJgiGXoGwDFqF6afp,0.697,0.608,4,-10.976,0,0.0463,0.0295,0.0,0.276,0.725,133.879,274533,4,42.53779,13,1
Do Me!,Bell Biv DeVoe,95,spotify:track:3an1aoJKoBXJKoIfdDbVwf,0.716,0.772,10,-6.816,0,0.037,0.134,2.15e-06,0.35,0.67,107.823,272440,4,17.29282,15,1
I Need To Know,Marc Anthony,96,spotify:track:7ffwRz8lZyDOE4Vj58Lo72,0.813,0.949,3,-2.563,0,0.0336,0.486,9.75e-06,0.112,0.792,115.061,227707,4,31.46063,10,1
Jump,Kris Kross,97,spotify:track:27AHAtAirQapVldIm4c9ZX,0.749,0.745,2,-10.625,1,0.164,0.000501,0.00403,0.333,0.481,101.972,195107,4,47.80584,10,1
Nobody,Keith Sweat Featuring Athena Cage,98,spotify:track:4SF1747p541umnykBp352Q,0.699,0.492,9,-9.449,0,0.0318,0.484,0.0,0.0482,0.388,117.907,264773,4,32.4779,12,1
Back At One,Brian McKnight,99,spotify:track:6mwA6YiKDjAUG8kWvRRUPh,0.661,0.346,11,-9.115,1,0.03,0.452,0.0,0.131,0.256,129.752,263667,4,40.51017,7,1
I Don't Wanna Cry,Mariah Carey,100,spotify:track:1hFtJ5rV3aAm58ErijHdFO,0.641,0.504,7,-12.486,1,0.031,0.197,9.01e-05,0.288,0.276,130.786,288827,4,24.16949,16,1
