Song,Artist Names,Hot100 Rank,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Smooth,Santana Featuring Rob Thomas,1,spotify:track:0n2SEXB2qoRQg171q7XqeW,0.609,0.923,9,-3.908,1,0.0338,0.16,4.73e-06,0.295,0.961,115.996,294987,4,44.2353,11,1
How Do I Live,LeAnn Rimes,2,spotify:track:7BD50ATrF3Vab5FQy7vtK8,0.577,0.462,2,-7.989,1,0.0279,0.128,0.0,0.0822,0.258,128.303,266973,4,43.73251,11,1
Macarena (Bayside Boys Mix),Los Del Rio,3,spotify:track:4oaj36KzXRgDg4McgcTsZK,0.927,0.721,8,-12.561,1,0.0908,0.422,4.36e-05,0.0422,0.965,103.018,249382,4,25.74047,15,1
Un-Break My Heart,Toni Braxton,4,spotify:track:5Ihd9HrPvOADyVoonH9ZjB,0.625,0.426,2,-8.392,0,0.0271,0.413,0.0,0.116,0.112,110.018,270333,4,53.40658,9,1
Down So Long,Jewel,5,spotify:track:5WmOYQAMavY2nk7tktsPbZ,0.611,0.55,9,-8.611,0,0.0436,0.306,0.00659,0.112,0.622,78.501,255147,4,36.83087,10,1
(Everything I Do) I Do It For You,Bryan Adams,6,spotify:track:6eBK3edMW7bEzecF1eCezc,0.526,0.365,1,-12.605,1,0.028,0.0775,1.35e-05,0.0618,0.253,131.253,394133,4,27.3344,16,1
I'll Make Love To You,Boyz II Men,7,spotify:track:61sQYdFNS6sEBYCyr1q5gn,0.567,0.501,2,-8.038,1,0.0241,0.0995,0.0,0.0986,0.2,142.589,236773,3,40.16776,11,1
Too Close,Next,8,spotify:track:5IFCyWplye09HytIP80RCF,0.847,0.402,7,-9.952,1,0.0641,0.0118,0.0,0.283,0.752,99.693,259440,4,22.96498,12,1
One Sweet Day,Mariah Carey & Boyz II Men,9,spotify:track:7ySbfLwdCwl1EM0zNCJZ38,0.569,0.495,1,-8.964,1,0.03,0.353,0.0,0.0839,0.302,128.228,281067,4,19.90171,11,1
Truly Madly Deeply,Savage Garden,10,spotify:track:013AWvizllIUEC2FOBzOnh,0.555,0.698,0,-8.874,1,0.0287,0.403,0.0,0.0851,0.816,168.12,277267,4,47.98965,11,1
Candle In The Wind 1997,Elton John,11,spotify:track:5LjSxAIKwyZvQqJ04ZQ0Da,0.48,0.628,6,-7.643,1,0.0262,0.174,3.28e-05,0.0753,0.541,143.412,240547,4,22.73478,11,1
I Will Always Love You,Whitney Houston,12,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,0.306,0.214,4,-12.518,1,0.0356,0.844,5.3e-06,0.0839,0.108,66.98,271093,4,34.6764,11,1
On Bended Knee,Boyz II Men,13,spotify:track:7MYmo0JJJDmu4MZTSAF9y3,0.631,0.516,8,-8.225,1,0.0353,0.413,0.0,0.115,0.18,116.654,329800,4,43.33309,14,1
The Sign,Ace Of Base,14,spotify:track:0hrBpAOgrt8RXigk83LLNE,0.808,0.786,4,-6.897,0,0.0447,0.00928,0.0701,0.0574,0.899,96.987,191240,4,34.32193,8,1
The Boy Is Mine,Brandy & Monica,15,spotify:track:6sHsXIJoEN5JpdkGMQDJxt,0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145,294787,4,24.71337,15,1
Because I Love You (The Postman Song),Stevie B,16,spotify:track:5133Vr9T5jaSNBlqSQRJDx,0.506,0.321,1,-11.796,1,0.0289,0.74,1.21e-06,0.125,0.0724,128.391,300107,4,56.71352,13,1
Whoomp! (There It Is),Tag Team,17,spotify:track:70jtZsS59vhmyZSsln0std,0.8,0.639,4,-7.406,0,0.0439,0.00123,0.0,0.0803,0.45,129.443,226027,4,31.41174,14,1
Rush Rush,Paula Abdul,18,spotify:track:015qd1I4v00JIoK7yOUgKC,0.706,0.44,4,-11.577,1,0.0493,0.763,0.0,0.0958,0.395,90.012,292933,4,49.97014,12,1
You're Still The One,Shania Twain,19,spotify:track:1wb4P4F0sxAQ2KXrRvsx6n,0.585,0.494,3,-8.751,1,0.0353,0.363,0.0,0.0886,0.634,133.822,212200,4,22.23618,10,1
"1, 2, 3, 4 (Sumpin' New)",Coolio,20,spotify:track:3aln8WgAUps6efYtdEYxP3,0.91,0.681,1,-9.639,0,0.153,0.288,0.00477,0.372,0.7,115.186,214307,4,30.04734,11,1
Gett Off,Prince And The N.P.G.,21,spotify:track:0wFkjAM4VVoepQdYB6kl4U,0.655,0.628,10,-11.407,0,0.0946,0.00448,0.000732,0.29,0.603,99.841,271667,4,22.58898,10,1
I Swear,All-4-One,22,spotify:track:4WUnM4KNZ0kjp0CUeoyOnS,0.532,0.407,6,-9.658,0,0.0233,0.235,0.0,0.117,0.23,83.207,259853,4,35.88568,12,1
I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,23,spotify:track:3QHONiXGMGU3z68mQInncF,0.862,0.479,7,-9.199,1,0.0646,0.0522,0.00126,0.589,0.925,109.878,301520,4,51.9383,17,1
You Make Me Wanna...,Usher,24,spotify:track:47TqCCnEliDp8NRDyIQoQq,0.761,0.639,5,-7.577,0,0.0539,0.0359,0.0,0.0945,0.922,164.088,219120,4,50.24231,9,1
Another Night,Real McCoy,25,spotify:track:3pEuO9J2MTEmec8kUfYYvl,0.813,0.882,7,-7.575,1,0.0402,0.0908,0.00457,0.147,0.874,125.983,236933,4,40.54748,12,1
Nobody Knows,The Tony Rich Project,26,spotify:track:2PsHIonOTmX6bSrzIJSjyS,0.64,0.433,5,-9.432,1,0.0374,0.509,4.9e-06,0.103,0.25,176.086,306933,4,38.32418,16,1
"When I Fall In Love (From ""Sleepless In Seattle"")",Celine Dion And Clive Griffin,27,spotify:track:5kqmgfPEUWtDGWOvop4sP2,0.19,0.241,8,-13.251,1,0.0322,0.577,0.0,0.0952,0.107,68.353,260827,4,68.96294,11,1
Creep,TLC,28,spotify:track:1aWV3uY3SIEZVbmv45oFWS,0.811,0.458,5,-9.688,0,0.0402,0.0193,1.41e-06,0.0526,0.797,92.94,268533,4,37.71321,10,1
Waterfalls,TLC,29,spotify:track:6qspW4YKycviDFjHBOaqUY,0.77,0.505,1,-7.345,1,0.0828,0.311,7.4e-05,0.0777,0.757,171.798,279507,4,33.47424,14,1
Misty Roses,Astrud Gilberto,30,spotify:track:50RBM1j1Dw7WYmsGsWg9Tm,0.527,0.316,1,-15.769,1,0.031,0.693,0.00699,0.168,0.543,116.211,158840,4,53.89523,6,0
Vogue,Madonna,31,spotify:track:27QvYgBk0CHOVHthWnkuWt,0.737,0.88,6,-6.449,1,0.0433,0.00379,0.00351,0.417,0.329,115.998,316813,4,37.1599,14,1
Love Takes Time,Mariah Carey,32,spotify:track:48l7PNpT2fBoT4cdLW6EzP,0.602,0.338,11,-12.371,1,0.0293,0.727,0.0,0.0849,0.25,126.232,229227,4,32.05178,13,1
