song,artist,Hot100 Rank,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,song_id,genre,streams
I'LL BE MISSING YOU,PUFF DADDY & FAITH EVANS FEATURING 112,23,spotify:track:3QHONiXGMGU3z68mQInncF,0.862,0.479,7,-9.199,1,0.0646,0.0522,0.00126,0.589,0.925,109.878,301520,4,51.9383,17,3QHONiXGMGU3z68mQInncF,pop,328144.0
YOU MAKE ME WANNA...,USHER,24,spotify:track:47TqCCnEliDp8NRDyIQoQq,0.761,0.639,5,-7.577,0,0.0539,0.0359,0.0,0.0945,0.922,164.088,219120,4,50.24231,9,47TqCCnEliDp8NRDyIQoQq,pop,56285.0
ANOTHER NIGHT,REAL MCCOY,25,spotify:track:3pEuO9J2MTEmec8kUfYYvl,0.813,0.882,7,-7.575,1,0.0402,0.0908,0.00457,0.147,0.874,125.983,236933,4,40.54748,12,3pEuO9J2MTEmec8kUfYYvl,hip hop,309393.0
NOBODY KNOWS,THE TONY RICH PROJECT,26,spotify:track:2PsHIonOTmX6bSrzIJSjyS,0.64,0.433,5,-9.432,1,0.0374,0.509,4.9e-06,0.103,0.25,176.086,306933,4,38.32418,16,2PsHIonOTmX6bSrzIJSjyS,r&b,203423.0
WHEN I FALL IN LOVE (FROM SLEEPLESS IN SEATTLE),CELINE DION AND CLIVE GRIFFIN,27,spotify:track:5kqmgfPEUWtDGWOvop4sP2,0.19,0.241,8,-13.251,1,0.0322,0.577,0.0,0.0952,0.107,68.353,260827,4,68.96294,11,5kqmgfPEUWtDGWOvop4sP2,pop,319113.0
CREEP,TLC,28,spotify:track:1aWV3uY3SIEZVbmv45oFWS,0.811,0.458,5,-9.688,0,0.0402,0.0193,1.41e-06,0.0526,0.797,92.94,268533,4,37.71321,10,1aWV3uY3SIEZVbmv45oFWS,pop,305052.0
WATERFALLS,TLC,29,spotify:track:6qspW4YKycviDFjHBOaqUY,0.77,0.505,1,-7.345,1,0.0828,0.311,7.4e-05,0.0777,0.757,171.798,279507,4,33.47424,14,6qspW4YKycviDFjHBOaqUY,pop,311030.0
MISTY ROSES,ASTRUD GILBERTO,30,spotify:track:50RBM1j1Dw7WYmsGsWg9Tm,0.527,0.316,1,-15.769,1,0.031,0.693,0.00699,0.168,0.543,116.211,158840,4,53.89523,6,50RBM1j1Dw7WYmsGsWg9Tm,jazz,294885.0
VOGUE,MADONNA,31,spotify:track:27QvYgBk0CHOVHthWnkuWt,0.737,0.88,6,-6.449,1,0.0433,0.00379,0.00351,0.417,0.329,115.998,316813,4,37.1599,14,27QvYgBk0CHOVHthWnkuWt,pop,336957.0
LOVE TAKES TIME,MARIAH CAREY,32,spotify:track:48l7PNpT2fBoT4cdLW6EzP,0.602,0.338,11,-12.371,1,0.0293,0.727,0.0,0.0849,0.25,126.232,229227,4,32.05178,13,48l7PNpT2fBoT4cdLW6EzP,pop,329039.0
IRIS,THE GOO GOO DOLLS,33,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533,3,45.33362,14,6Qyc6fS4DsZjB2mRW9DsQs,rock,17586504.0
IT MUST HAVE BEEN LOVE (FROM PRETTY WOMAN),ROXETTE,34,spotify:track:6kvoHl80mfCVTv7XnZkjQn,0.52,0.652,5,-6.655,1,0.0274,0.34,5.49e-05,0.256,0.722,80.609,258787,4,24.74831,12,6kvoHl80mfCVTv7XnZkjQn,pop,300961.0
VISION OF LOVE,MARIAH CAREY,35,spotify:track:0gLQ6jhJsyYfl7PrD1RZ7X,0.256,0.463,5,-10.959,1,0.0382,0.442,0.0,0.121,0.354,205.362,209293,3,22.77907,9,0gLQ6jhJsyYfl7PrD1RZ7X,pop,349391.0
HOLD ON,WILSON PHILLIPS,36,spotify:track:4VZDv8sASBS8UruUBGTFdk,0.679,0.657,5,-9.897,1,0.0255,0.4,0.0,0.0497,0.546,97.8,266867,4,20.21849,13,4VZDv8sASBS8UruUBGTFdk,rock,52304.0
I WANNA SEX YOU UP (FROM NEW JACK CITY),COLOR ME BADD,37,spotify:track:3lsse1FoSHnNXc6y0jHxvd,0.551,0.591,6,-8.404,0,0.12,0.00549,6.55e-06,0.0416,0.474,201.799,236947,4,30.51548,13,3lsse1FoSHnNXc6y0jHxvd,pop,315047.0
ONE MORE TRY,TIMMY T.,38,spotify:track:2drQ6wg2hdl6RDslarifh8,0.641,0.573,9,-9.198,1,0.0485,0.191,0.0,0.317,0.5,149.826,209427,5,38.54258,11,2drQ6wg2hdl6RDslarifh8,pop,342857.0
YOU MEAN THE WORLD TO ME,TONI BRAXTON,40,spotify:track:1d0GYRpnCb0XNQcQdKhfKL,0.595,0.736,11,-6.648,1,0.0469,0.0964,9.28e-06,0.104,0.521,167.669,296400,4,28.32539,18,1d0GYRpnCb0XNQcQdKhfKL,pop,324038.0
FROM A DISTANCE,BETTE MIDLER,41,spotify:track:48eiLW57CqSmCYNZRM2J8M,0.536,0.242,7,-11.716,1,0.0277,0.674,0.0,0.331,0.331,137.989,276346,4,26.3402,15,48eiLW57CqSmCYNZRM2J8M,rock,1315008.0
JUST A GIRL,NO DOUBT,42,spotify:track:5lWRaa0fBxDE5yU91npPq7,0.638,0.906,2,-4.824,1,0.0504,0.0662,6.88e-05,0.142,0.767,107.991,209200,4,50.24515,6,5lWRaa0fBxDE5yU91npPq7,rock,1234526.0
FANTASY,MARIAH CAREY,43,spotify:track:6xkryXuiZU360Lngd4sx13,0.671,0.727,7,-7.585,1,0.035,0.139,0.0,0.123,0.801,102.358,243493,4,21.8287,14,6xkryXuiZU360Lngd4sx13,pop,33008.0
UNBELIEVABLE,EMF,44,spotify:track:5VYTKiOnHw4iTrB9pG3yum,0.637,0.849,1,-6.855,1,0.0362,0.000341,0.0386,0.141,0.936,104.074,209813,4,32.55442,12,5VYTKiOnHw4iTrB9pG3yum,rock,1356091.0
THE FIRST TIME,SURFACE,45,spotify:track:4iqnWPNCt4hhZ96KhjlJKq,0.637,0.354,10,-11.964,1,0.0283,0.215,0.000704,0.0961,0.111,126.435,256000,4,17.77721,15,4iqnWPNCt4hhZ96KhjlJKq,r&b,220080.0
TAKE A BOW,MADONNA,46,spotify:track:7izFzcBTx3DVXFeFYDeZKB,0.549,0.408,8,-7.698,1,0.024,0.341,0.0,0.0764,0.319,80.133,320467,4,40.51848,17,7izFzcBTx3DVXFeFYDeZKB,pop,344696.0
CAN'T NOBODY HOLD ME DOWN,PUFF DADDY (FEATURING MASE),47,spotify:track:1EM23A621Z0QyTlWKu7T1l,0.928,0.771,3,-5.935,0,0.251,0.102,1.07e-05,0.338,0.679,93.987,231160,4,31.5471,13,1EM23A621Z0QyTlWKu7T1l,pop,346947.0
MORE THAN WORDS,EXTREME,48,spotify:track:1gVgkQFOKa8Wc1HYsJtPdH,0.626,0.134,6,-14.898,1,0.0298,0.467,0.0,0.113,0.239,91.893,334107,4,65.80852,17,1gVgkQFOKa8Wc1HYsJtPdH,rock,8142857.0
